Vietnam, 22704, 413.54
Djibouti, 43274, 221.05
Russian Federation, 25017, 13.71
Barbados, 515, 1758.29
Moldova, 18600, 901.57
Brazil, 15997, 888.44
Kosovo, 19149, 179.19
Uruguay, 349, 1574.68
Armenia, 16648, 871.91
Angola, 30428, 1211.59
San Marino, 43367, 924.77
Ukraine, 39789, 1693.52
Chile, 43524, 1905.71
Liberia, 9492, 1412.35
Colombia, 34723, 74.21
Serbia, 30061, 1061.32
Trinidad & Tobago, 16626, 1970.2
Angola, 49609, 1757.03
Serbia, 39642, 537.69
Cuba, 30296, 1279.98
China, 34588, 149.58
Denmark, 5827, 388.24
South Africa, 16286, 795.08
Japan, 3426, 72.63
Albania, 10615, 1122.59
Austria, 20142, 625.97
France, 28693, 1553.88
Ukraine, 20237, 1691.33
Afghanistan, 20636, 143.31
Guinea-Bissau, 10496, 1312.93
Iraq, 27727, 1098.7
Spain, 34318, 1597.94
Uruguay, 35917, 266.95
Eswatini, 22393, 713.84
Tajikistan, 45303, 1363.66
Albania, 16300, 1553.75
Azerbaijan, 19593, 1717.11
Uruguay, 14935, 171.48
Marshall Islands, 30896, 1339.72
Germany, 2500, 1602.63
Colombia, 14650, 1523.39
Marshall Islands, 30141, 1144.91
Kuwait, 8869, 1809.31
Angola, 44318, 803.5
Albania, 33270, 1937.73
Comoros, 47780, 631.72
Bhutan, 17036, 228.82
Guatemala, 18216, 1472.42
Aruba, 28853, 1578.31
Chile, 22529, 1233.22
Aruba, 49392, 1242.92
Italy, 9968, 229.87
Vanuatu, 49338, 521.25
Kosovo, 31602, 761.7
Argentina, 7000, 962.37
Russian Federation, 45110, 1804.81
Gambia, 23532, 1335.55
Austria, 49790, 1494.47
Colombia, 26083, 689.76
Denmark, 35310, 1126.88
Kuwait, 31318, 745.58
Dominica, 34806, 1722.2
Mongolia, 45511, 1944.37
Uruguay, 29510, 1886.4
Iraq, 8964, 1888.76
Bulgaria, 19471, 594.72
Denmark, 30855, 45.71
Oman, 25296, 1642.69
Vietnam, 38579, 1862.13
Nepal, 25041, 1745.26
Angola, 10228, 245.52
South Africa, 35795, 1123.89
Mongolia, 5312, 459.76
Nicaragua, 45067, 1952.49
Georgia, 11287, 1319.8
Angola, 12108, 722.57
Russian Federation, 33915, 1988.22
Kuwait, 27327, 977.67
Iraq, 31714, 226.59
Bhutan, 49019, 115.4
Afghanistan, 11973, 1487.16
Yemen, 20779, 1863.99
Angola, 41277, 1811.67
Slovakia, 24778, 1182.52
Chile, 44963, 419.06
Bahrain, 5739, 807.71
Bahrain, 9329, 513.69
Comoros, 45303, 1541.86
Ukraine, 29986, 335.55
Aruba, 7360, 827.16
Liberia, 35027, 797.91
Indonesia, 23080, 1379.13
Argentina, 810, 774.81
Bangladesh, 6813, 135.48
Brazil, 2517, 1661.81
Ukraine, 8397, 1255.3
Ethiopia, 3808, 1889.21
Myanmar, 4250, 1970.92
Kosovo, 45912, 1089.32
Vietnam, 31588, 858.35
San Marino, 6547, 136.04
Mongolia, 46944, 203.95
Ukraine, 35212, 1842.25
Aruba, 14982, 439.9
Djibouti, 40759, 695.75
Bulgaria, 33231, 905.32
Argentina, 44014, 1263.28
Oman, 44880, 1768.41
Iraq, 4783, 846.03
China, 10873, 1194.02
Kuwait, 34418, 996.89
Iraq, 10663, 600.51
Belarus, 31047, 311.23
Belarus, 8870, 1825.77
Nicaragua, 29950, 233.44
Iceland, 29997, 1483.99
South Africa, 7546, 248.16
Yemen, 19435, 711.14
Aruba, 37777, 1567.67
Argentina, 40736, 1176.0
Nicaragua, 21011, 420.5
Bahamas, 33244, 1405.99
India, 27630, 1668.29
Kosovo, 41268, 1357.24
Trinidad & Tobago, 29540, 335.2
Iceland, 45864, 597.37
Georgia, 14332, 659.97
Ukraine, 22609, 475.66
Guatemala, 39534, 1813.92
Bahrain, 3955, 380.07
Madagascar, 22622, 1892.79
Ethiopia, 12746, 278.22
Moldova, 49736, 833.51
Nepal, 11394, 237.04
Iraq, 44315, 1587.08
Aruba, 39106, 1580.18
Mongolia, 11265, 1242.34
Liberia, 29005, 538.41
Algeria, 39079, 1516.44
Oman, 1512, 1583.16
Madagascar, 21262, 1775.22
Slovenia, 22325, 107.6
Ukraine, 47493, 1811.68
Guatemala, 24804, 1846.36
Angola, 9446, 1104.68
Costa Rica, 8428, 1982.54
Burkina, 27214, 1170.64
Vietnam, 20588, 1276.85
Nicaragua, 4415, 608.39
Burkina, 26857, 474.12
Austria, 14011, 1231.69
Australia, 43380, 360.81
Trinidad & Tobago, 30723, 1233.56
Eswatini, 1629, 748.22
Bangladesh, 23365, 319.17
Trinidad & Tobago, 22816, 848.85
Albania, 1690, 399.79
Nicaragua, 38264, 552.23
Congo, 8405, 1619.75
Iraq, 38476, 321.75
Slovakia, 16286, 1107.17
Oman, 36918, 132.29
South Africa, 16443, 161.79
Dominica, 17311, 749.5
Ethiopia, 24951, 1709.84
Nepal, 3410, 1093.3
Cuba, 49607, 784.87
Israel, 33915, 177.91
Bahrain, 45792, 1609.99
Chile, 38143, 530.3
Russian Federation, 17460, 1661.47
Israel, 17232, 854.16
Afghanistan, 21043, 1759.12
Slovakia, 5388, 180.6
Japan, 14538, 764.24
Slovakia, 18717, 769.85
Marshall Islands, 11775, 1818.13
Bulgaria, 48636, 743.79
Angola, 30921, 387.59
Burkina, 48533, 1894.15
Yemen, 19925, 1990.84
Bangladesh, 9070, 905.36
Russian Federation, 32374, 1563.18
Albania, 14941, 1630.66
Liberia, 30601, 1780.25
Yemen, 13802, 447.35
Indonesia, 10570, 1297.42
Aruba, 5716, 1561.49
Australia, 3618, 1850.51
Antigua & Deps, 22405, 1951.79
Germany, 30038, 28.19
Iraq, 27201, 354.21
Kosovo, 44518, 1711.69
Taiwan, 45849, 964.11
Colombia, 24341, 1344.98
Trinidad & Tobago, 3013, 1061.14
Bhutan, 41844, 887.39
Taiwan, 27909, 1899.49
Nicaragua, 13870, 889.6
Slovenia, 36682, 1960.74
Madagascar, 43045, 1049.86
Benin, 27685, 1981.44
